#,"",node,betweenness,closeness,eigenvector,pagerank,clustering,modularity
25,24,17342842,0.001291,0.078163,1.933138e-07,0.002289,0.310873,3.0
26,25,25615305,0.005487,0.085068,1.904036e-07,0.001930,0.278098,3.0
27,26,5533902,0.000251,0.084037,1.893777e-07,0.001713,0.569231,3.0
28,27,16877939,0.000142,0.084241,1.846825e-07,0.002080,0.438119,3.0
29,28,5992502,0.004902,0.077638,1.746829e-07,0.002792,0.390728,3.0
30,29,451331227,0.000130,0.082438,1.692162e-07,0.001168,0.702290,3.0
31,30,20583098,0.002079,0.083834,1.575954e-07,0.001428,0.527778,3.0
32,31,16858804,0.000018,0.083935,1.514364e-07,0.001618,0.604651,3.0
33,32,7712232,0.000033,0.083430,1.258468e-07,0.001240,0.600000,3.0
34,33,2705,0.002371,0.083531,1.197917e-07,0.001892,0.254902,3.0
35,34,767809,0.000001,0.082243,1.195293e-07,0.000933,0.538462,3.0
36,35,17293897,0.000000,0.102905,1.173879e-07,0.003178,0.209091,3.0
37,36,16216637,0.000584,0.073057,1.147814e-07,0.000968,0.350877,3.0
38,37,6127252,0.000083,0.082145,1.120454e-07,0.001067,0.509434,3.0
39,38,27703441,0.000018,0.072826,1.079422e-07,0.000922,0.518519,3.0
40,39,203827751,0.006216,0.087872,1.077514e-07,0.003140,0.306011,3.0
41,40,23150071,0.000562,0.076188,1.076817e-07,0.001144,0.477941,3.0
42,41,28359405,0.000422,0.077034,1.026384e-07,0.001984,0.475904,3.0
43,42,16967011,0.000013,0.072446,1.003647e-07,0.000758,0.480392,3.0
44,43,792998,0.000038,0.072598,8.755748e-08,0.001031,0.462264,3.0
45,44,59557446,0.000906,0.086340,8.609824e-08,0.003118,0.451613,3.0
46,45,117998529,0.003580,0.085912,8.500858e-08,0.000902,0.198905,3.0
47,46,23483324,0.039831,0.100334,8.444044e-08,0.003935,0.317829,3.0
48,47,55019225,0.000000,0.073304,8.175352e-08,0.000783,0.500000,3.0
49,48,98976495,0.000597,0.086447,8.003854e-08,0.001452,0.348485,3.0
50,49,23930272,0.000141,0.076524,7.709788e-08,0.001693,0.489865,3.0
51,50,88974843,0.001692,0.072903,7.342113e-08,0.000802,0.285714,3.0
52,51,6463042,0.000877,0.075606,6.522826e-08,0.002210,0.290944,3.0
53,52,124746917,0.002750,0.074549,6.475072e-08,0.002299,0.488739,3.0
54,53,174118650,0.000406,0.073992,6.432873e-08,0.000745,0.500000,3.0
55,54,57261575,0.000075,0.075441,6.216380e-08,0.002216,0.510870,3.0
56,55,111615736,0.037498,0.098762,6.168450e-08,0.001847,0.287879,3.0
57,56,50944856,0.000233,0.075688,6.157393e-08,0.002456,0.402622,3.0
58,57,99211591,0.001819,0.086447,6.086819e-08,0.001974,0.355670,3.0
59,58,56318573,0.003463,0.084964,5.582019e-08,0.001647,0.321078,3.0
60,59,163937752,0.000123,0.071994,5.403845e-08,0.000706,0.340708,3.0
61,60,21734241,0.003813,0.074389,5.356661e-08,0.002031,0.450739,3.0
62,61,52073562,0.000000,0.074469,5.226811e-08,0.000795,1.000000,3.0
63,62,195409031,0.000168,0.074871,5.137635e-08,0.002144,0.514851,3.0
64,63,30486243,0.001614,0.085068,5.117953e-08,0.001642,0.357923,3.0
65,64,4126501,0.002154,0.074952,4.975462e-08,0.001319,0.311250,3.0
66,65,93906304,0.001564,0.095761,4.964315e-08,0.001505,0.394231,3.0
67,66,21742517,0.000150,0.074790,4.795490e-08,0.002004,0.362069,3.0
68,67,96770886,0.000931,0.075278,4.650729e-08,0.001561,0.427861,3.0
69,68,23484510,0.000175,0.084860,4.484620e-08,0.002573,0.636364,3.0
70,69,38718720,0.002288,0.084964,4.463321e-08,0.001615,0.285276,3.0
71,70,18758940,0.000110,0.074389,4.097261e-08,0.001509,0.413043,3.0
72,71,30690708,0.000229,0.071108,4.047087e-08,0.000505,0.333333,3.0
73,72,155613846,0.000324,0.074150,3.422068e-08,0.000631,0.300000,3.0
74,73,17477343,0.000981,0.074230,3.337334e-08,0.000698,0.132075,3.0
75,74,113415132,0.000019,0.073366,2.956201e-08,0.001264,0.492063,3.0
76,75,349256925,0.000159,0.073366,2.742716e-08,0.000480,0.400000,3.0
77,76,60607157,0.000006,0.064554,2.695096e-08,0.000490,0.166667,3.0
78,77,291476217,0.000000,0.073304,2.675199e-08,0.000556,1.000000,3.0
79,78,21074641,0.002043,0.073521,2.546435e-08,0.000745,0.282738,3.0
80,79,22879382,0.000000,0.093944,2.417289e-08,0.000992,1.000000,3.0
81,80,171145913,8.098914e-04,0.071475,2.337129e-08,0.000480,0.248344,3.0
82,81,30204310,3.149606e-02,0.093690,2.079938e-08,0.000810,0.000000,3.0
83,82,166002579,0.000000e+00,0.070572,2.066790e-08,0.000443,0.000000,3.0
84,83,18344173,1.311600e-05,0.070673,2.020247e-08,0.000399,0.166667,3.0
85,84,83529586,0.000000e+00,0.083426,1.753861e-08,0.000816,0.300000,3.0
86,85,22558481,1.296658e-06,0.072370,1.695735e-08,0.000513,0.593023,3.0
87,86,41048052,1.240547e-03,0.073288,1.666958e-08,0.000822,0.259804,3.0
88,87,557196973,0.000000e+00,0.070008,1.588478e-08,0.000645,0.000000,3.0
89,88,25835874,7.608362e-04,0.068509,1.066468e-08,0.000475,0.000000,3.0
90,89,137355085,0.000000e+00,0.070501,5.789498e-09,0.000378,0.000000,3.0
91,90,454423088,0.000000e+00,0.062738,4.541578e-09,0.000517,0.000000,3.0
92,91,19230869,8.048225e-07,0.062069,3.758444e-09,0.000512,0.703704,3.0
93,92,84111527,6.797204e-06,0.062686,3.242381e-09,0.000472,0.477273,3.0
94,93,258681133,0.000000e+00,0.062016,1.753871e-09,0.000379,0.000000,3.0
95,94,35476618,0.000000e+00,0.058447,7.204941e-10,0.000474,0.000000,3.0
