#,"",node,betweenness,closeness,eigenvector,pagerank,clustering,modularity
46,45,54611487,1.173486e-02,0.209654,0.004029,0.001185,0.252237,1.0
47,46,31317273,5.063849e-04,0.221843,0.003922,0.000685,0.263158,1.0
48,47,83155222,1.160585e-03,0.226004,0.003804,0.001031,0.401487,1.0
49,48,222090651,2.210475e-03,0.223795,0.003774,0.000949,0.308793,1.0
50,49,83032174,3.961835e-06,0.202335,0.003686,0.000420,0.544118,1.0
51,50,33806113,3.069459e-06,0.202335,0.003571,0.000429,0.442857,1.0
52,51,100052945,3.546703e-05,0.224014,0.003566,0.000699,0.403846,1.0
53,52,272173354,8.007449e-06,0.221200,0.003227,0.000577,0.613636,1.0
54,53,105259389,4.387932e-05,0.220986,0.003213,0.000513,0.573171,1.0
55,54,86799233,2.615673e-06,0.220880,0.003175,0.000441,0.443182,1.0
56,55,207594668,3.086565e-05,0.222490,0.003121,0.000797,0.585366,1.0
57,56,477094958,3.392584e-05,0.202156,0.003096,0.000572,0.425287,1.0
58,57,81446304,3.266325e-07,0.202067,0.003029,0.000380,0.638889,1.0
59,58,451493376,4.110215e-05,0.202156,0.002984,0.000512,0.750000,1.0
60,59,128721580,2.012056e-06,0.201978,0.002954,0.000379,0.500000,1.0
61,60,287915525,0.000021,0.202067,0.002948,0.000521,0.373016,1.0
62,61,215787132,0.000002,0.202156,0.002932,0.000437,0.407407,1.0
63,62,309782398,0.000004,0.201889,0.002886,0.000380,0.500000,1.0
64,63,19383317,0.038681,0.252139,0.002373,0.003995,0.270748,1.0
65,64,2883841,0.005808,0.247639,0.002291,0.001937,0.253731,1.0
66,65,25970331,0.073834,0.227012,0.001689,0.009848,0.238626,1.0
67,66,16895295,0.001966,0.221950,0.001680,0.001738,0.204698,1.0
68,67,250988604,0.000217,0.198591,0.001264,0.003160,0.257143,1.0
69,68,193593048,0.000695,0.197279,0.000962,0.000607,0.247573,1.0
70,69,54581743,0.001185,0.199427,0.000920,0.000698,0.542424,1.0
71,70,40968863,0.005349,0.198218,0.000902,0.000991,0.258974,1.0
72,71,135268094,0.002582,0.192146,0.000532,0.000924,0.212224,1.0
73,72,20271494,0.000551,0.218665,0.000516,0.003402,0.415888,1.0
74,73,16824090,0.000190,0.217936,0.000471,0.002424,0.366310,1.0
75,74,15460081,0.000896,0.220561,0.000436,0.007790,0.311849,1.0
76,75,19153742,0.000543,0.195510,0.000421,0.000761,0.208738,1.0
77,76,34507480,0.005157,0.218978,0.000410,0.007169,0.362585,1.0
78,77,342221618,0.000444,0.205883,0.000409,0.000712,0.175000,1.0
79,78,22440364,0.000276,0.219293,0.000394,0.006880,0.414614,1.0
80,79,37008705,0.003670,0.218769,0.000381,0.005763,0.396540,1.0
81,80,22592948,0.000120,0.218874,0.000369,0.006429,0.416221,1.0
82,81,34270956,0.000727,0.194844,0.000364,0.000834,0.404110,1.0
83,82,27772095,0.000721,0.218352,0.000361,0.006044,0.401646,1.0
84,83,335678635,0.000003,0.177518,0.000357,0.003052,0.200000,1.0
85,84,14425825,0.000167,0.198562,0.000322,0.005800,0.471429,1.0
86,85,63808966,0.001035,0.198390,0.000269,0.002226,0.358803,1.0
87,86,148081553,0.001206,0.197024,0.000256,0.001279,0.428571,1.0
88,87,309765553,0.001242,0.194844,0.000253,0.000761,0.206767,1.0
89,88,29654458,0.000558,0.215171,0.000251,0.001365,0.503759,1.0
90,89,58309829,0.001906,0.216596,0.000231,0.003232,0.396648,1.0
91,90,147946019,0.000179,0.196012,0.000224,0.000978,0.486900,1.0
92,91,211670208,0.001016,0.197534,0.000189,0.002165,0.351036,1.0
93,92,143838260,0.000713,0.196770,0.000182,0.001477,0.378140,1.0
94,93,61065794,0.000709,0.197279,0.000181,0.001919,0.395722,1.0
95,94,339373057,0.000401,0.195176,0.000175,0.001445,0.343137,1.0
96,95,206416476,0.000285,0.196855,0.000175,0.001939,0.489179,1.0
97,96,109698612,0.000062,0.193281,0.000170,0.000514,0.233333,1.0
98,97,112819301,0.000330,0.196770,0.000168,0.001729,0.443015,1.0
99,98,301695120,0.001461,0.197109,0.000167,0.001687,0.448646,1.0
100,99,333011515,0.000210,0.187350,0.000166,0.000780,0.269231,1.0
101,100,163274846,0.000144,0.189286,0.000163,0.000618,0.388889,1.0
102,101,26649453,0.000030,0.195760,0.000162,0.001769,0.519324,1.0
103,102,169504184,0.001124,0.195928,0.000161,0.001262,0.404902,1.0
104,103,203623462,0.000186,0.196180,0.000160,0.001926,0.588115,1.0
105,104,158526208,0.000326,0.177957,0.000159,0.000762,0.382022,1.0
106,105,181288376,0.000366,0.196432,0.000156,0.001215,0.473176,1.0
107,106,226516599,0.000276,0.196180,0.000154,0.001205,0.490566,1.0
108,107,243227325,0.000174,0.196012,0.000150,0.001311,0.511801,1.0
109,108,421412483,0.000232,0.195593,0.000149,0.000978,0.431054,1.0
110,109,164422299,0.000186,0.196096,0.000148,0.001196,0.465298,1.0
111,110,250849104,0.000139,0.195844,0.000145,0.001058,0.542131,1.0
112,111,243836182,0.000040,0.195760,0.000144,0.001337,0.606329,1.0
113,112,102364313,0.001478,0.195760,0.000140,0.001006,0.535455,1.0
114,113,161788974,0.000100,0.195593,0.000140,0.001039,0.614387,1.0
115,114,243273954,0.000064,0.195510,0.000136,0.000916,0.513986,1.0
116,115,408060505,0.000031,0.195426,0.000133,0.001031,0.598916,1.0
117,116,225488317,0.000029,0.195510,0.000132,0.001126,0.654709,1.0
118,117,197090502,0.000053,0.195510,0.000132,0.000833,0.642857,1.0
119,118,230505689,0.000007,0.195176,0.000126,0.000772,0.741935,1.0
120,119,302936475,0.000058,0.195260,0.000126,0.000827,0.623288,1.0
121,120,352035443,0.000011,0.195176,0.000126,0.000751,0.626689,1.0
122,121,325054079,0.000003,0.195176,0.000125,0.000942,0.656250,1.0
123,122,480595611,0.000018,0.195176,0.000125,0.000817,0.597384,1.0
124,123,69373005,0.000028,0.195343,0.000124,0.000897,0.536765,1.0
125,124,171704225,0.000003,0.195093,0.000122,0.000693,0.625000,1.0
126,125,244719623,0.000000,0.195093,0.000122,0.000855,0.709302,1.0
127,126,192023970,0.000049,0.195093,0.000117,0.000653,0.469828,1.0
128,127,25592034,0.000000,0.195577,0.000115,0.000590,0.450000,1.0
129,128,115525090,0.000078,0.194844,0.000113,0.000720,0.432234,1.0
130,129,176222605,0.000000,0.195411,0.000110,0.000542,0.666667,1.0
131,130,328158079,0.000201,0.178651,0.000108,0.000644,0.336658,1.0
132,131,235163686,0.000051,0.194678,0.000107,0.000507,0.584416,1.0
133,132,79817691,0.000000,0.195411,0.000107,0.001233,0.583333,1.0
134,133,27090278,0.000182,0.193608,0.000102,0.000907,0.453333,1.0
135,134,208105146,0.000098,0.175974,0.000096,0.000536,0.340000,1.0
136,135,48504743,0.000017,0.193118,0.000091,0.000660,0.462963,1.0
137,136,111990504,0.000051,0.174100,0.000090,0.000519,0.367647,1.0
138,137,222802532,0.000083,0.174100,0.000087,0.000444,0.291667,1.0
139,138,240944206,0.000015,0.178165,0.000087,0.000528,0.491071,1.0
140,139,126470482,0.000000,0.173970,0.000079,0.000424,0.500000,1.0
141,140,258490941,0.000111,0.173048,0.000078,0.000463,0.203704,1.0
